Dia,Mes,Anio,Hora,SO2 ,NO ,PM10,O3 ,CO mg/m3,Benceno,Tolueno,Xileno,NO2 
10,7,2010,10.00,88.00,28.00,66.00,32.00,0.80,3.30,8.30,13.10,58.00
10,7,2010,11.00,128.00,26.00,55.00,37.00,0.70,5.40,17.60,35.00,54.00
10,7,2010,12.00,310.00,26.00,60.00,42.00,0.80,7.70,29.40,58.20,69.00
10,7,2010,13.00,147.00,25.00,49.00,53.00,0.80,9.70,33.00,63.00,59.00
10,7,2010,14.00,72.00,11.00,43.00,65.00,0.70,4.30,13.00,25.50,39.00
10,7,2010,15.00,40.00,8.00,41.00,70.00,0.70,2.00,2.30,3.70,34.00
10,7,2010,16.00,32.00,4.00,41.00,76.00,0.60,2.00,2.00,2.80,27.00
10,7,2010,17.00,36.00,7.00,41.00,69.00,0.60,2.00,2.20,2.70,32.00
10,7,2010,18.00,24.00,4.00,41.00,86.00,0.70,2.20,2.20,2.90,21.00
10,7,2010,19.00,13.00,2.00,39.00,78.00,0.70,2.20,3.00,3.50,19.00
10,7,2010,20.00,13.00,1.00,40.00,61.00,0.70,2.30,2.30,3.70,26.00
10,7,2010,21.00,13.00,11.00,40.00,36.00,0.90,2.50,4.20,7.40,59.00
10,7,2010,22.00,13.00,77.00,52.00,12.00,1.50,3.80,12.70,25.10,88.00
10,7,2010,23.00,22.00,98.00,58.00,7.00,1.70,7.10,31.00,59.20,91.00
10,7,2010,24.00,20.00,31.00,39.00,18.00,1.30,6.00,27.20,51.50,76.00
11,7,2010,1.00,11.00,22.00,40.00,11.00,1.30,3.70,14.60,24.70,84.00
11,7,2010,2.00,9.00,14.00,39.00,20.00,1.10,3.70,16.20,25.20,81.00
11,7,2010,3.00,27.00,4.00,34.00,33.00,1.00,3.90,16.40,25.00,63.00
11,7,2010,4.00,21.00,3.00,33.00,46.00,0.90,3.40,12.10,21.20,51.00
11,7,2010,5.00,19.00,3.00,31.00,42.00,0.90,4.00,14.00,25.20,52.00
11,7,2010,6.00,36.00,10.00,32.00,35.00,0.90,4.20,15.20,26.80,58.00
11,7,2010,7.00,19.00,19.00,35.00,24.00,1.10,3.60,13.30,23.50,75.00
11,7,2010,8.00,23.00,19.00,38.00,36.00,1.00,3.60,14.60,25.50,74.00
11,7,2010,9.00,51.00,15.00,42.00,51.00,0.90,4.70,15.60,26.90,58.00
11,7,2010,10.00,53.00,10.00,35.00,66.00,0.80,6.20,19.60,41.40,30.00
11,7,2010,11.00,19.00,4.00,32.00,75.00,0.80,2.30,2.70,3.60,19.00
11,7,2010,12.00,17.00,2.00,36.00,72.00,0.70,2.10,2.40,3.50,14.00
11,7,2010,13.00,14.00,1.00,35.00,76.00,0.70,2.00,2.20,3.20,9.00
11,7,2010,14.00,16.00,1.00,36.00,71.00,0.70,1.90,2.20,3.10,9.00
11,7,2010,15.00,23.00,5.00,34.00,61.00,0.70,1.90,2.10,3.00,16.00
